chave;cnpj;nr_natureza_juridica;matriz;simples;simei;classificação;situacao
2062-6697-2008;66970229009890;2062;0;0;0;PRIVADO;ATIVA
2135-0617-2004;06177717000190;2135;1;0;0;PRIVADO;ATIVA
2135-1524-2012;15246442000190;2135;1;1;0;PRIVADO;BAIXADA
2135-0169-1997;01694944000250;2135;0;1;0;PRIVADO;ATIVA
2062-1559-2012;15596451000100;2062;1;1;0;PRIVADO;ATIVA
2062-0555-2003;05559270000150;2062;1;1;0;PRIVADO;ATIVA
2062-8771-1980;87715678000210;2062;0;0;0;PRIVADO;ATIVA
2135-1280-2010;12806973000100;2135;1;1;1;PRIVADO;ATIVA
2062-0323-1999;03236501000160;2062;1;0;0;PRIVADO;ATIVA
2062-0883-2007;08839837000130;2062;1;0;0;PRIVADO;BAIXADA
2135-1575-2012;15756843000190;2135;1;1;1;PRIVADO;ATIVA
2135-9352-1990;93521391000170;2135;1;1;0;PRIVADO;ATIVA
2062-1242-2010;12425173000130;2062;1;0;0;PRIVADO;BAIXADA
2054-4993-2011;49930514101080;2054;0;0;0;PRIVADO;BAIXADA
2240-2243-1986;22439343000190;2240;1;1;0;PRIVADO;ATIVA
2305-1080-2009;10803793000130;2305;1;1;0;PRIVADO;ATIVA
2062-0796-2006;07962644000100;2062;1;0;0;PRIVADO;ATIVA
2135-1454-2011;14544047000120;2135;1;1;1;PRIVADO;ATIVA
2135-1528-2012;15283306000170;2135;1;1;0;PRIVADO;ATIVA
2062-1342-2012;13425825000280;2062;0;0;0;PRIVADO;ATIVA
2062-0634-2012;06347693000250;2062;0;1;0;PRIVADO;ATIVA
2062-8713-1973;87139234000100;2062;1;0;0;PRIVADO;ATIVA
2135-6432-1990;64323777000170;2135;1;0;0;PRIVADO;ATIVA
1120-5151-1987;51519197000100;1120;1;0;0;PUBLICO;ATIVA
2135-1322-2011;13224623000190;2135;1;1;1;PRIVADO;ATIVA
2240-6004-1989;60048188000170;2240;1;0;0;PRIVADO;ATIVA
2062-0311-1999;03112335000190;2062;1;1;0;PRIVADO;ATIVA
2135-0430-2001;04309903000100;2135;1;0;0;PRIVADO;ATIVA
2135-2763-1985;27634716000520;2135;0;1;0;PRIVADO;ATIVA
2135-9334-1990;93341733000170;2135;1;0;0;PRIVADO;ATIVA
2135-5255-1983;52557469000120;2135;1;0;0;PRIVADO;ATIVA
2135-1529-2012;15291858000120;2135;1;1;1;PRIVADO;ATIVA
2062-0795-2011;07953678005520;2062;0;0;0;PRIVADO;ATIVA
2135-1530-2012;15305553000120;2135;1;0;0;PRIVADO;BAIXADA
3271-1577-2010;15777000000170;3271;1;0;0;PUBLICO;ATIVA
2046-6074-2009;60746948599200;2046;0;0;0;PRIVADO;ATIVA
2062-0279-1986;02799419000180;2062;1;0;0;PRIVADO;BAIXADA
2062-8355-1979;83559534000180;2062;1;0;0;PRIVADO;BAIXADA
2062-5576-1986;55764401000100;2062;1;0;0;PRIVADO;BAIXADA
2062-5697-1987;56972706000170;2062;1;0;0;PRIVADO;BAIXADA
2135-2974-1977;29742020000110;2135;1;0;0;PRIVADO;BAIXADA
2062-6470-1990;64704836000150;2062;1;0;0;PRIVADO;BAIXADA
2135-0173-1997;01737537000100;2135;1;0;0;PRIVADO;BAIXADA
2135-2990-1979;29901709000140;2135;1;0;0;PRIVADO;BAIXADA
2062-4033-1991;40332074000140;2062;1;0;0;PRIVADO;BAIXADA
2135-0955-1985;09559360000100;2135;1;0;0;PRIVADO;BAIXADA
3999-0141-1996;01413676000170;3999;1;0;0;PRIVADO;BAIXADA
2240-0557-2003;05575718000120;2240;1;0;0;PRIVADO;BAIXADA
